date,open,high,low,close
2008-06-10,1.973910,1.975390,1.952400,1.953580
2008-06-11,1.953700,1.966610,1.950380,1.964020
2008-06-12,1.963900,1.964020,1.943710,1.947500
2008-06-13,1.946930,1.950720,1.941790,1.946890
2008-06-16,1.949390,1.968580,1.947190,1.964290
2008-06-17,1.964710,1.969400,1.947310,1.957710
2008-06-18,1.957710,1.961010,1.948220,1.958790
2008-06-19,1.958710,1.974610,1.958710,1.972390
2008-06-20,1.972580,1.978980,1.970480,1.973710
2008-06-23,1.974060,1.975890,1.959020,1.965410
2008-06-24,1.965560,1.972110,1.962900,1.970400
2008-06-25,1.970290,1.976790,1.966490,1.974680
2008-06-26,1.974650,1.989340,1.972190,1.987600
2008-06-27,1.987400,1.995290,1.982710,1.994100
2008-06-30,1.994810,1.996610,1.988510,1.992980
2008-07-02,1.994610,1.996880,1.984910,1.992510
2008-07-03,1.992790,1.993580,1.980790,1.982910
2008-07-04,1.983100,1.985030,1.980280,1.983420
2008-07-07,1.982790,1.982990,1.965490,1.976400
2008-07-08,1.976600,1.978790,1.967260,1.968700
2008-07-09,1.968810,1.983850,1.967810,1.982200
2008-07-10,1.982200,1.982550,1.971800,1.977610
2008-07-11,1.977610,1.994890,1.975580,1.989420
2008-07-14,1.987720,1.996210,1.982200,1.994020
2008-07-15,1.994220,2.013288,1.993860,2.003607
2008-07-16,2.004008,2.009404,1.996610,1.998600
2008-07-17,1.998440,2.006702,1.995410,1.997600
2008-07-18,1.997880,1.999800,1.991320,1.999000
2008-07-21,1.994100,2.004008,1.991200,2.001721
2008-07-22,2.002002,2.007669,1.990410,1.992790
2008-07-23,1.992790,2.002884,1.990880,1.997440
2008-07-24,1.997600,1.998960,1.982280,1.987240
2008-07-25,1.987080,1.997800,1.984210,1.990010
2008-07-28,1.988980,1.996330,1.984800,1.994100
2008-07-29,1.994300,1.996690,1.976790,1.980790
2008-07-30,1.980750,1.983810,1.975110,1.981100
2008-07-31,1.980980,1.992510,1.978870,1.983100
2008-08-01,1.982510,1.984280,1.973160,1.974290
2008-08-04,1.975040,1.976010,1.960210,1.961210
2008-08-05,1.961130,1.961210,1.952510,1.955610
2008-08-06,1.955610,1.958980,1.946960,1.948220
2008-08-07,1.947990,1.953890,1.942200,1.943600
2008-08-08,1.943480,1.943480,1.914870,1.919720
2008-08-11,1.915010,1.925820,1.907600,1.911900
2008-08-12,1.912300,1.912300,1.895480,1.895810
2008-08-13,1.895590,1.903780,1.865010,1.866790
2008-08-14,1.866890,1.878600,1.862090,1.866610
2008-08-15,1.866510,1.867970,1.851990,1.864910
2008-08-18,1.865290,1.871990,1.861640,1.865010
2008-08-19,1.865050,1.868390,1.854010,1.868010
2008-08-20,1.867800,1.868600,1.854600,1.863410
2008-08-21,1.863410,1.879590,1.860980,1.876670
2008-08-22,1.875960,1.876880,1.850790,1.854010
2008-08-25,1.850690,1.859190,1.840870,1.849010
2008-08-26,1.839380,1.841590,1.833520,1.839220
2008-08-27,1.839380,1.848670,1.829890,1.835600
2008-08-28,1.835200,1.839790,1.824880,1.829790
2008-08-29,1.829790,1.834190,1.817820,1.821790
2008-09-01,1.810610,1.813010,1.787600,1.791310
2008-09-02,1.790990,1.794140,1.778920,1.781710
2008-09-03,1.782210,1.783990,1.767190,1.773300
2008-09-04,1.773110,1.784920,1.757410,1.761400
2008-09-05,1.761590,1.773490,1.754940,1.768600
2008-09-08,1.783990,1.797620,1.747790,1.761740
2008-09-09,1.762610,1.770190,1.751500,1.762300
2008-09-10,1.762390,1.767500,1.748190,1.752910
2008-09-11,1.753710,1.760590,1.745290,1.755590
2008-09-12,1.755710,1.795820,1.754600,1.792310
2008-09-15,1.797880,1.812610,1.777490,1.795820
2008-09-16,1.794530,1.799210,1.775690,1.783610
2008-09-17,1.783990,1.823390,1.779710,1.815010
2008-09-18,1.814780,1.827180,1.810320,1.815410
2008-09-19,1.815510,1.838610,1.792790,1.830900
2008-09-22,1.830530,1.863450,1.826880,1.858010
2008-09-23,1.857560,1.862510,1.848190,1.855490
2008-09-24,1.855600,1.859880,1.846070,1.849490
2008-09-25,1.849390,1.866300,1.832480,1.840400
2008-09-26,1.840400,1.846590,1.834220,1.840300
2008-09-29,1.833010,1.833990,1.797400,1.801090
2008-09-30,1.801410,1.811200,1.776920,1.782090
2008-10-01,1.782790,1.787090,1.764630,1.769940
2008-10-02,1.770220,1.772610,1.756300,1.764510
2008-10-03,1.764260,1.782500,1.757310,1.772010
2008-10-06,1.766000,1.769130,1.735900,1.743100
2008-10-07,1.743470,1.763890,1.734210,1.745510
2008-10-08,1.745900,1.763610,1.726490,1.727500
2008-10-09,1.727650,1.739250,1.707100,1.708640
2008-10-10,1.707800,1.716090,1.681210,1.704010
2008-10-13,1.714560,1.744290,1.694600,1.744290
2008-10-14,1.744200,1.762390,1.739610,1.741800
2008-10-15,1.741800,1.759790,1.714410,1.718390
2008-10-16,1.718390,1.735420,1.717800,1.734300
2008-10-17,1.734390,1.737800,1.723660,1.730190
2008-10-20,1.730490,1.751650,1.710810,1.713090
2008-10-21,1.713410,1.719990,1.667390,1.667390
2008-10-22,1.667190,1.667640,1.616190,1.620090
2008-10-23,1.620190,1.634310,1.607590,1.622690
2008-10-24,1.622190,1.623190,1.529500,1.591500
2008-10-27,1.587200,1.587200,1.530340,1.553900
2008-10-28,1.554220,1.610100,1.541500,1.609010
2008-10-29,1.609400,1.644790,1.595000,1.637200
2008-10-30,1.636850,1.665810,1.624010,1.637120
2008-10-31,1.637060,1.640370,1.603800,1.607300
2008-11-03,1.611710,1.639610,1.574110,1.577060
2008-11-04,1.577610,1.609400,1.561210,1.593700
2008-11-05,1.593600,1.618910,1.577810,1.584510
2008-11-06,1.584460,1.603210,1.557000,1.558310
2008-11-07,1.559040,1.586720,1.554190,1.565090
2008-11-10,1.579530,1.587980,1.558090,1.563620
2008-11-11,1.563210,1.570010,1.535410,1.538390
2008-11-12,1.539290,1.547700,1.484100,1.491490
2008-11-13,1.489560,1.498400,1.459190,1.490670
2008-11-14,1.490380,1.495350,1.468360,1.475300
2008-11-17,1.466790,1.506500,1.466300,1.499500
2008-11-18,1.499500,1.508960,1.490690,1.495950
2008-11-19,1.495800,1.524480,1.491490,1.497010
2008-11-20,1.498100,1.499610,1.471890,1.473800
2008-11-21,1.474100,1.505590,1.473410,1.492690
2008-11-24,1.491710,1.518930,1.485860,1.514900
2008-11-25,1.514620,1.552100,1.499790,1.542810
2008-11-26,1.542400,1.543590,1.520700,1.533370
2008-11-27,1.533370,1.549690,1.532900,1.540310
2008-11-28,1.539600,1.544590,1.527300,1.538510
2008-12-01,1.535370,1.535790,1.481810,1.486500
2008-12-02,1.486390,1.505840,1.478590,1.490710
2008-12-03,1.490090,1.493320,1.467010,1.478200
2008-12-04,1.478200,1.480800,1.449510,1.468410
2008-12-05,1.468190,1.476490,1.455200,1.470500
2008-12-08,1.470260,1.503690,1.470260,1.487500
2008-12-09,1.486520,1.489000,1.468490,1.475910
2008-12-10,1.475620,1.486590,1.474300,1.479790
2008-12-11,1.479920,1.507910,1.479920,1.502900
2008-12-12,1.502000,1.511400,1.482400,1.494990
2008-12-15,1.499000,1.537000,1.493010,1.529890
2008-12-16,1.529780,1.563800,1.520800,1.558600
2008-12-17,1.557800,1.571510,1.526510,1.550700
2008-12-18,1.550990,1.561210,1.492000,1.505500
2008-12-19,1.505910,1.517400,1.481700,1.499500
2008-12-22,1.497500,1.498510,1.471410,1.482800
2008-12-23,1.482730,1.489600,1.468280,1.474490
2008-12-24,1.474490,1.480410,1.466790,1.473210
2008-12-25,1.473210,1.519710,1.467700,1.474990
2008-12-26,1.475100,1.479900,1.458490,1.458490
2008-12-29,1.466490,1.476800,1.440280,1.446910
2008-12-30,1.447300,1.454100,1.440300,1.446800
2008-12-31,1.445190,1.469660,1.441190,1.465610
2009-01-01,1.449700,1.480250,1.449700,1.474100
2009-01-02,1.472190,1.476490,1.441300,1.452390
2009-01-05,1.451930,1.473860,1.444000,1.471610
2009-01-06,1.471000,1.498980,1.451460,1.491200
2009-01-07,1.491290,1.525510,1.481960,1.507910
2009-01-08,1.507300,1.536000,1.499880,1.522700
2009-01-09,1.522900,1.534590,1.513290,1.517910
2009-01-12,1.509500,1.511560,1.480600,1.481900
2009-01-13,1.482100,1.482100,1.448020,1.451690
2009-01-14,1.452310,1.469530,1.449910,1.462100
2009-01-15,1.460980,1.468190,1.449300,1.467200
2009-01-16,1.467310,1.497590,1.466320,1.473410
2009-01-19,1.488410,1.490870,1.436840,1.442540
2009-01-20,1.442560,1.442790,1.384910,1.387750
2009-01-21,1.387870,1.401990,1.363900,1.387600
2009-01-22,1.387660,1.396710,1.371010,1.388040
2009-01-23,1.387810,1.388100,1.353000,1.378300
2009-01-26,1.363200,1.404570,1.355470,1.397100
2009-01-27,1.398410,1.423510,1.393710,1.418640
2009-01-28,1.418720,1.435400,1.413110,1.422980
2009-01-29,1.422580,1.438500,1.407600,1.427900
2009-01-30,1.428310,1.456300,1.419510,1.456300
2009-02-02,1.438950,1.442790,1.406000,1.421200
2009-02-03,1.421040,1.447700,1.417390,1.443710
2009-02-04,1.443500,1.456450,1.434600,1.445900
2009-02-05,1.446050,1.470350,1.437900,1.463210
2009-02-06,1.462990,1.483720,1.459700,1.477500
2009-02-09,1.481500,1.497100,1.470800,1.485550
2009-02-10,1.485800,1.488800,1.446590,1.455880
2009-02-11,1.455790,1.456200,1.432190,1.435010
2009-02-12,1.435400,1.441010,1.414910,1.429100
2009-02-13,1.429200,1.459300,1.428590,1.436000
2009-02-16,1.423690,1.431560,1.416210,1.429820
2009-02-17,1.429690,1.430390,1.413110,1.423990
2009-02-18,1.425010,1.429690,1.410950,1.425090
2009-02-19,1.425090,1.444290,1.424500,1.426700
2009-02-20,1.426590,1.445690,1.416330,1.443900
2009-02-23,1.437500,1.465700,1.436910,1.447090
2009-02-24,1.445730,1.457730,1.438210,1.452850
2009-02-25,1.452200,1.459900,1.418400,1.422090
2009-02-26,1.421500,1.438040,1.416990,1.429800
2009-02-27,1.430060,1.435400,1.411950,1.427210
2009-03-02,1.422900,1.428630,1.397000,1.403510
2009-03-03,1.404200,1.415310,1.399890,1.402800
2009-03-04,1.403000,1.420090,1.399400,1.417780
2009-03-05,1.416590,1.422800,1.404790,1.413110
2009-03-06,1.412910,1.428410,1.405010,1.407000
2009-03-09,1.416470,1.417820,1.375710,1.379410
2009-03-10,1.379410,1.389800,1.370200,1.379200
2009-03-11,1.379100,1.388930,1.366510,1.384200
2009-03-12,1.384600,1.397100,1.371500,1.393110
2009-03-13,1.392210,1.405500,1.386940,1.400700
2009-03-16,1.396490,1.422820,1.395110,1.407600
2009-03-17,1.406390,1.413810,1.397100,1.405400
2009-03-18,1.405900,1.432990,1.387100,1.428410
2009-03-19,1.427490,1.459190,1.418000,1.449590
2009-03-20,1.449740,1.458280,1.440090,1.442710
2009-03-23,1.447810,1.463700,1.445800,1.457190
2009-03-24,1.456200,1.477150,1.456200,1.470000
2009-03-25,1.470670,1.471500,1.451800,1.455100
2009-03-26,1.455200,1.463460,1.443110,1.446510
2009-03-27,1.446700,1.449510,1.427800,1.432500
2009-03-30,1.428510,1.429370,1.412090,1.424700
2009-03-31,1.425010,1.437400,1.424660,1.434490
2009-04-01,1.434600,1.447620,1.428000,1.446090
2009-04-02,1.446880,1.474800,1.446090,1.473490
2009-04-03,1.473080,1.484690,1.465500,1.483310
2009-04-06,1.488800,1.494990,1.467890,1.474100
2009-04-07,1.473900,1.477410,1.460050,1.474100
2009-04-08,1.474100,1.474510,1.464110,1.469510
2009-04-09,1.469510,1.476910,1.460390,1.467500
2009-04-10,1.467390,1.468490,1.462310,1.466000
2009-04-13,1.466000,1.486900,1.461090,1.484940
2009-04-14,1.485510,1.494410,1.482910,1.490490
2009-04-15,1.491090,1.502900,1.483310,1.500020
2009-04-16,1.499990,1.506480,1.485000,1.491890
2009-04-17,1.492250,1.494100,1.476490,1.479990
2009-04-20,1.481500,1.481500,1.450810,1.454310
2009-04-21,1.454290,1.470670,1.448310,1.466490
2009-04-22,1.466150,1.468410,1.442040,1.448900
2009-04-23,1.448620,1.473990,1.445110,1.471690
2009-04-24,1.471610,1.476690,1.458810,1.471500
2009-04-27,1.465700,1.469210,1.451990,1.461500
2009-04-28,1.462220,1.468710,1.452500,1.462870
2009-04-29,1.462870,1.480600,1.462390,1.476730
2009-04-30,1.476840,1.494100,1.472750,1.478810
2009-05-01,1.479200,1.493090,1.475910,1.491090
2009-05-04,1.494010,1.504890,1.484340,1.503510
2009-05-05,1.502900,1.516020,1.498800,1.507090
2009-05-06,1.507180,1.515400,1.499520,1.515010
2009-05-07,1.514990,1.518880,1.494810,1.503400
2009-05-08,1.503690,1.524990,1.497210,1.524300
2009-05-11,1.520220,1.524600,1.507320,1.513710
2009-05-12,1.513750,1.535110,1.508090,1.527040
2009-05-13,1.527000,1.533110,1.509590,1.515290
2009-05-14,1.515200,1.524810,1.506800,1.522950
2009-05-15,1.523410,1.528700,1.513590,1.516090
2009-05-18,1.516810,1.534990,1.512520,1.534380
2009-05-19,1.534590,1.552510,1.530010,1.548400
2009-05-20,1.548110,1.579550,1.545500,1.575400
2009-05-21,1.575200,1.588990,1.552800,1.585090
