pair,side,date,month,z,hit,base_z,base_hit
USDCHF,top,2012-03-19,2012-03,-1.4155560581267366,0.0,0.09680290353436154,0.5470536499560247
USDCHF,top,2012-07-02,2012-07,0.4906809851970907,1.0,0.09680290353436154,0.5470536499560247
USDCHF,top,2013-05-27,2013-05,1.0142074092546634,1.0,0.09680290353436154,0.5470536499560247
USDCHF,top,2014-10-20,2014-10,-1.9239366247369774,0.0,0.09680290353436154,0.5470536499560247
USDCHF,top,2016-12-19,2016-12,0.4900408946690911,1.0,0.09680290353436154,0.5470536499560247
USDCHF,top,2022-05-23,2022-05,0.5056860405120981,1.0,0.09680290353436154,0.5470536499560247
USDCHF,bottom,2011-03-14,2011-03,-2.4368810541035426,0.0,-0.09680290353436154,0.45162708883025504
USDCHF,bottom,2014-03-24,2014-03,0.4691807585055887,1.0,-0.09680290353436154,0.45162708883025504
USDCHF,bottom,2020-06-22,2020-06,-1.0361924013109858,0.0,-0.09680290353436154,0.45162708883025504
USDCHF,bottom,2020-11-30,2020-11,-0.35818964277710696,0.0,-0.09680290353436154,0.45162708883025504
USDCHF,bottom,2021-03-01,2021-03,-0.4900726091109075,0.0,-0.09680290353436154,0.45162708883025504
EURJPY,top,2011-02-21,2011-02,-0.14586106884926542,0.0,-0.12916476798058804,0.4531215530553717
EURJPY,top,2013-02-11,2013-02,-0.6808458190448299,0.0,-0.12916476798058804,0.4531215530553717
EURJPY,top,2013-09-30,2013-09,-1.5964811270773227,0.0,-0.12916476798058804,0.4531215530553717
EURJPY,top,2013-12-30,2013-12,0.5502481420518773,1.0,-0.12916476798058804,0.4531215530553717
EURJPY,top,2017-07-17,2017-07,-0.5046987137187807,0.0,-0.12916476798058804,0.4531215530553717
EURJPY,top,2023-06-05,2023-06,-1.3119802170333872,0.0,-0.12916476798058804,0.4531215530553717
EURJPY,bottom,2011-09-26,2011-09,-0.41367568197274013,0.0,0.12916476798058804,0.5462166335759983
EURJPY,bottom,2012-01-09,2012-01,2.5076552615678604,1.0,0.12916476798058804,0.5462166335759983
EURJPY,bottom,2015-03-30,2015-03,1.650855018017841,1.0,0.12916476798058804,0.5462166335759983
EURJPY,bottom,2024-10-28,2024-10,-0.46354531683714745,0.0,0.12916476798058804,0.5462166335759983
EURJPY,bottom,2025-01-27,2025-01,-0.003499081605645404,0.0,0.12916476798058804,0.5462166335759983
GBPJPY,top,2011-02-21,2011-02,0.5908303393042946,1.0,-0.138319304026974,0.4105448930068387
GBPJPY,top,2012-04-30,2012-04,1.247691111317858,1.0,-0.138319304026974,0.4105448930068387
GBPJPY,top,2012-12-03,2012-12,-0.98691282661428,0.0,-0.138319304026974,0.4105448930068387
GBPJPY,top,2013-12-09,2013-12,0.07169642978820408,1.0,-0.138319304026974,0.4105448930068387
GBPJPY,top,2014-04-07,2014-04,-0.24627387864697567,0.0,-0.138319304026974,0.4105448930068387
GBPJPY,top,2017-10-09,2017-10,-0.5545909408213796,0.0,-0.138319304026974,0.4105448930068387
GBPJPY,top,2023-06-26,2023-06,-0.037787177091469185,0.0,-0.138319304026974,0.4105448930068387
GBPJPY,top,2024-02-19,2024-02,-0.7568071111673256,0.0,-0.138319304026974,0.4105448930068387
GBPJPY,top,2024-06-10,2024-06,0.6946671031788495,1.0,-0.138319304026974,0.4105448930068387
GBPJPY,bottom,2009-10-05,2009-10,0.5366841584001945,1.0,0.138319304026974,0.5894551069931613
GBPJPY,bottom,2011-10-31,2011-10,-0.9524844933871629,0.0,0.138319304026974,0.5894551069931613
GBPJPY,bottom,2016-01-25,2016-01,-1.5902394682441756,0.0,0.138319304026974,0.5894551069931613
GBPJPY,bottom,2016-06-13,2016-06,-1.873434854305355,0.0,0.138319304026974,0.5894551069931613
GBPJPY,bottom,2019-08-12,2019-08,2.0304881351430026,1.0,0.138319304026974,0.5894551069931613
CADJPY,top,2010-04-05,2010-04,1.6860821353871618,1.0,-0.12498214073018266,0.4153981910434591
CADJPY,top,2011-02-21,2011-02,0.40060334904675654,1.0,-0.12498214073018266,0.4153981910434591
CADJPY,top,2012-04-30,2012-04,0.9782228589676085,1.0,-0.12498214073018266,0.4153981910434591
CADJPY,top,2012-11-05,2012-11,-2.4027821456660705,0.0,-0.12498214073018266,0.4153981910434591
CADJPY,top,2017-07-31,2017-07,-0.29448170708348465,0.0,-0.12498214073018266,0.4153981910434591
CADJPY,top,2021-07-05,2021-07,0.45322723222659994,1.0,-0.12498214073018266,0.4153981910434591
CADJPY,top,2022-04-25,2022-04,-1.165052894405013,0.0,-0.12498214073018266,0.4153981910434591
CADJPY,bottom,2011-10-31,2011-10,-0.47700476462377883,0.0,0.12498214073018266,0.5843812045003309
CADJPY,bottom,2012-02-06,2012-02,1.039112630566955,1.0,0.12498214073018266,0.5843812045003309
CADJPY,bottom,2016-01-04,2016-01,0.10368220333512952,1.0,0.12498214073018266,0.5843812045003309
CADJPY,bottom,2024-08-12,2024-08,0.4463161946952642,1.0,0.12498214073018266,0.5843812045003309
CADJPY,bottom,2024-11-25,2024-11,-0.6474866574874477,0.0,0.12498214073018266,0.5843812045003309
AUDJPY,top,2010-04-05,2010-04,1.8773983022710432,1.0,-0.1538833738684929,0.4354731965585705
AUDJPY,top,2011-02-21,2011-02,-0.33031551675874543,0.0,-0.1538833738684929,0.4354731965585705
AUDJPY,top,2012-12-03,2012-12,-1.7654614191959557,0.0,-0.1538833738684929,0.4354731965585705
AUDJPY,top,2013-04-01,2013-04,1.2778673426215255,1.0,-0.1538833738684929,0.4354731965585705
AUDJPY,top,2017-07-17,2017-07,0.1051550763002758,1.0,-0.1538833738684929,0.4354731965585705
AUDJPY,top,2021-04-05,2021-04,0.12038331511680846,1.0,-0.1538833738684929,0.4354731965585705
AUDJPY,top,2024-07-01,2024-07,1.5736126990131787,1.0,-0.1538833738684929,0.4354731965585705
AUDJPY,bottom,2015-08-31,2015-08,0.44952752710193683,1.0,0.1538833738684929,0.5634237811603794
AUDJPY,bottom,2019-08-19,2019-08,0.6507529004190832,1.0,0.1538833738684929,0.5634237811603794
AUDJPY,bottom,2025-03-31,2025-03,0.12372153561770605,1.0,0.1538833738684929,0.5634237811603794
AUDJPY,bottom,2025-08-25,2025-08,0.9270905844863749,1.0,0.1538833738684929,0.5634237811603794
NZDJPY,top,2012-11-12,2012-11,-3.7549809806947207,0.0,-0.15643491917168173,0.4484285081894644
NZDJPY,top,2013-03-18,2013-03,0.14490508196935445,1.0,-0.15643491917168173,0.4484285081894644
NZDJPY,top,2017-07-17,2017-07,0.6522078123465896,1.0,-0.15643491917168173,0.4484285081894644
NZDJPY,top,2021-11-01,2021-11,1.2859645746910287,1.0,-0.15643491917168173,0.4484285081894644
NZDJPY,top,2024-02-26,2024-02,-0.4825999715466741,0.0,-0.15643491917168173,0.4484285081894644
NZDJPY,top,2024-06-10,2024-06,0.9219157949684571,1.0,-0.15643491917168173,0.4484285081894644
NZDJPY,bottom,2012-01-09,2012-01,2.2286624215531217,1.0,0.15643491917168173,0.5509074811863657
NZDJPY,bottom,2015-07-20,2015-07,-0.22119307852345788,0.0,0.15643491917168173,0.5509074811863657
NZDJPY,bottom,2016-01-25,2016-01,-0.17916996207058158,0.0,0.15643491917168173,0.5509074811863657
NZDJPY,bottom,2016-09-26,2016-09,2.1159823600897876,1.0,0.15643491917168173,0.5509074811863657
NZDJPY,bottom,2019-09-02,2019-09,0.8196672073320619,1.0,0.15643491917168173,0.5509074811863657
NZDJPY,bottom,2024-08-12,2024-08,0.4976066792487774,1.0,0.15643491917168173,0.5509074811863657
NZDJPY,bottom,2024-12-02,2024-12,-0.4362656401114407,0.0,0.15643491917168173,0.5509074811863657
