pair,direction,entry,stop,target,planned_rr,realized_R,bars_held,exit_reason
USD/CHF,short,0.77751,0.779159635612219,0.7739,2.1883620681200435,2.1883620681200435,66,target
USD/CHF,short,0.77055,0.7736559265603609,0.76312,2.3922007992154772,-1.0,135,stop
AUD/USD,long,0.65044034,0.6492042067400309,0.65363753,2.5864444421470054,-1.0,4,stop
AUD/USD,long,0.69768,0.6962521013449632,0.70425,4.601166880313939,-1.0,9,stop
AUD/USD,long,0.69733,0.6952094524842369,0.70425,3.2633081544083673,-1.0,4,stop
AUD/USD,long,0.70601,0.7044093029373946,0.71129,3.2985629344541154,-1.0,13,stop
AUD/USD,long,0.70666,0.7043955387977768,0.71129,2.0446364881211236,2.0446364881211236,14,target
AUD/USD,long,0.71062,0.7100473525038432,0.71335,4.7673307197215085,-1.0,1,stop
AUD/USD,long,0.70302,0.7027754975711926,0.70888,23.967042080457322,-1.0,1,stop
AUD/USD,long,0.70844,0.7066290112779193,0.71862,5.6212387608379775,-1.0,3,stop
AUD/USD,long,0.71644,0.7158571580840926,0.72051,6.983025566484144,-1.0,4,stop
AUD/USD,long,0.7164,0.7152758773910743,0.72051,3.6561848034778097,-1.0,32,stop
USD/CAD,short,1.3697,1.3715307417516558,1.363,3.65971879646045,-1.0,3,stop
USD/CAD,short,1.3699,1.3715336247171896,1.363,4.223736288631609,4.223736288631609,49,target
USD/CAD,short,1.36469,1.3702581599987775,1.3535,2.009640528012245,-1.0,8,stop
USD/CAD,long,1.40179,1.4015088992485516,1.408,22.09172322734862,-1.0,2,stop
USD/CAD,long,1.40299,1.3988958867934556,1.414,2.6892270546892982,-1.0,49,stop
USD/CAD,short,1.37119,1.3733431613481988,1.36432,3.190657312210583,-1.0,12,stop
USD/CAD,short,1.37242,1.373395555178574,1.36432,8.302964484121171,-1.0,1,stop
USD/CAD,short,1.37333,1.3733942069039653,1.36432,140.3275885232089,-1.0,1,stop
USD/CAD,short,1.36046,1.3629207876042193,1.34824,4.965889774089926,-1.0,6,stop
USD/CAD,short,1.36039,1.3641090961025386,1.35052,2.653870652404726,-1.0,37,stop
USD/CAD,short,1.36378,1.3645475088643435,1.36035,4.469003759238514,-1.0,7,stop
USD/CAD,long,1.40975,1.4082197187918675,1.41292,2.071514688380879,-1.0,7,stop
NZD/USD,long,0.60382825,0.6034524581905027,0.60668564,7.603651617163087,-1.0,1,stop
NZD/USD,short,0.5737564,0.5760829793421199,0.5684725,2.2711024310847425,-1.0,94,stop
NZD/USD,short,0.57474566,0.5755235361936402,0.57267213,2.665629848237035,-1.0,5,stop
NZD/USD,long,0.60072,0.5987764302600622,0.6093,4.414557308488686,-1.0,67,stop
NZD/USD,long,0.6037,0.603420522627204,0.60726,12.738061634058353,-1.0,1,stop
NZD/USD,long,0.60379,0.6033567537488529,0.60525,3.369907982202022,-1.0,4,stop
NZD/USD,long,0.60347,0.6025386421263665,0.60625,2.9848891373567072,-1.0,6,stop
NZD/USD,long,0.6037,0.6027530476371412,0.60625,2.6928492921245004,-1.0,3,stop
NZD/USD,long,0.59296,0.5906692528314953,0.59898,2.627963523329108,-1.0,28,stop
NZD/USD,short,0.58303,0.5846432546784204,0.5797,2.064150220385993,2.064150220385993,18,target
NZD/USD,short,0.5695,0.5703804275840798,0.56771,2.033103042620838,-1.0,4,stop
EUR/JPY,long,166.334,166.2077583662327,167.612,10.123443129353367,10.123443129353367,26,target
EUR/JPY,long,170.838,170.58422999563535,172.386,6.100011716813055,6.100011716813055,89,target
