study,pair,date,side,outcome,tie,k
single pct_b,EURUSD,2018-09-21,top,reversal,False,4
single pct_b,EURUSD,2018-10-04,bottom,reversal,False,5
single pct_b,EURUSD,2018-10-25,bottom,continuation,False,4
single pct_b,EURUSD,2018-11-01,bottom,reversal,False,1
single pct_b,EURUSD,2018-11-13,bottom,reversal,False,1
single pct_b,EURUSD,2018-12-21,top,reversal,False,1
single pct_b,EURUSD,2019-01-01,top,reversal,False,1
single pct_b,EURUSD,2019-01-10,top,reversal,False,1
single pct_b,EURUSD,2019-02-12,bottom,reversal,False,6
single pct_b,EURUSD,2019-03-08,bottom,reversal,False,2
single pct_b,EURUSD,2019-04-25,bottom,reversal,False,3
single pct_b,EURUSD,2019-05-30,bottom,reversal,False,2
single pct_b,EURUSD,2019-06-07,top,continuation,False,3
single pct_b,EURUSD,2019-06-24,top,reversal,False,5
single pct_b,EURUSD,2019-08-01,bottom,reversal,False,2
single pct_b,EURUSD,2019-09-02,bottom,reversal,False,3
single pct_b,EURUSD,2019-09-26,bottom,continuation,False,3
single pct_b,EURUSD,2019-10-18,top,reversal,False,14
single pct_b,EURUSD,2019-12-12,top,continuation,False,1
single pct_b,EURUSD,2019-12-30,top,continuation,False,1
single pct_b,EURUSD,2020-01-27,bottom,reversal,False,4
single pct_b,EURUSD,2020-02-10,bottom,continuation,False,2
single pct_b,EURUSD,2020-02-13,bottom,continuation,False,3
single pct_b,EURUSD,2020-03-03,top,continuation,False,3
single pct_b,EURUSD,2020-03-20,bottom,reversal,False,2
single pct_b,EURUSD,2020-05-21,top,reversal,False,2
single pct_b,EURUSD,2020-05-29,top,continuation,False,2
single pct_b,EURUSD,2020-07-15,top,continuation,False,5
single pct_b,EURUSD,2020-07-31,top,reversal,False,1
single pct_b,EURUSD,2020-09-23,bottom,reversal,False,9
single pct_b,EURUSD,2020-11-02,bottom,reversal,False,1
single pct_b,EURUSD,2020-12-02,top,continuation,False,1
single pct_b,EURUSD,2020-12-31,top,reversal,False,1
single pct_b,GBPUSD,2009-01-20,bottom,reversal,False,5
single pct_b,GBPUSD,2009-03-09,bottom,reversal,False,5
single pct_b,GBPUSD,2009-03-24,top,reversal,False,2
single pct_b,GBPUSD,2009-05-06,top,reversal,False,1
single pct_b,GBPUSD,2009-05-20,top,reversal,False,1
single pct_b,GBPUSD,2009-06-01,top,reversal,False,3
single pct_b,GBPUSD,2009-07-07,bottom,reversal,False,2
single pct_b,GBPUSD,2009-07-31,top,continuation,False,1
single pct_b,GBPUSD,2009-09-24,bottom,reversal,False,10
single pct_b,GBPUSD,2009-10-21,top,reversal,False,2
single pct_b,GBPUSD,2009-12-08,bottom,continuation,False,8
single pct_b,GBPUSD,2009-12-22,bottom,reversal,False,7
single pct_b,GBPUSD,2010-01-13,top,continuation,False,4
single pct_b,GBPUSD,2010-02-04,bottom,continuation,False,1
single pct_b,GBPUSD,2010-02-25,bottom,continuation,False,2
single pct_b,GBPUSD,2010-05-04,bottom,continuation,False,2
single pct_b,GBPUSD,2010-05-13,bottom,continuation,False,2
single pct_b,GBPUSD,2010-05-18,bottom,reversal,False,4
single pct_b,GBPUSD,2010-06-10,top,reversal,False,1
single pct_b,GBPUSD,2010-06-15,top,continuation,False,7
single pct_b,GBPUSD,2010-06-25,top,reversal,False,4
single pct_b,GBPUSD,2010-07-15,top,reversal,False,1
single pct_b,GBPUSD,2010-07-23,top,continuation,False,3
single pct_b,GBPUSD,2010-08-02,top,reversal,False,6
single pct_b,GBPUSD,2010-09-16,top,continuation,False,6
single pct_b,GBPUSD,2010-09-27,top,continuation,False,8
single pct_b,GBPUSD,2010-11-05,top,reversal,False,2
single pct_b,GBPUSD,2010-11-29,bottom,reversal,False,5
